"","Year.range","State","Total.subsidy_USA","Total.subsidy_foreign","Total.subsidy_mega.deal_USA","Total.subsidy_mega.deal_foreign","Undisclosed.deal.share_USA","Undisclosed.deal.share_foreign","% total.subsidy.to.foreign","% total.subsidy_mega.to.foreign"
"1","before 2000","Alabama",2.35e+08,515300000,2.35e+08,515300000,0,0,0.686791949886712,0.686791949886712
"2","before 2000","Alaska",289172972,295695941,0,0,0,0,0.50557643674934,NA
"3","before 2000","Arizona",8.2e+07,NA,8.2e+07,NA,0,NA,NA,NA
"4","before 2000","California",2e+08,NA,2e+08,NA,0,NA,NA,NA
"5","before 2000","Colorado",286300000,3e+05,0,0,0,0,0.00104675505931612,NA
"6","before 2000","Connecticut",150825000,344099074,1.35e+08,3.4e+08,0,0,0.695256286926952,0.715789473684211
"7","before 2000","Delaware",258136,178122776,0,1.78e+08,0,0,0.998552894493554,1
"8","before 2000","District of Columbia",8.4e+07,NA,8.4e+07,NA,0,NA,NA,NA
"9","before 2000","Florida",162209942,24302300,0,0,0.0147058823529412,0.0294117647058824,0.130298685702357,NA
"10","before 2000","Georgia",0,0,0,0,0,0,NA,NA
"11","before 2000","Idaho",2482428,NA,0,NA,0,NA,NA,NA
"12","before 2000","Illinois",573679303,250490000,362900000,249300000,0.272727272727273,0,0.303930271472389,0.407219862789938
"13","before 2000","Indiana",893700000,8.6e+07,893700000,8.6e+07,0,0,0.087781974073696,0.087781974073696
"14","before 2000","Iowa",27972875,81502244,0,7.3e+07,0,0,0.744481894557246,1
"15","before 2000","Kansas",1.36e+08,0,1.36e+08,0,0,0,0,0
"16","before 2000","Kentucky",939602232,544121315,5300000,179300000,0,0,0.366726885274673,0.971289274106175
"17","before 2000","Louisiana",3347635,NA,0,NA,0,NA,NA,NA
"18","before 2000","Maine",287336375,NA,287336375,NA,0,NA,NA,NA
"19","before 2000","Maryland",2200000,2500000,0,0,0,0,0.531914893617021,NA
"20","before 2000","Massachusetts",0,0,0,0,1,1,NA,NA
"21","before 2000","Michigan",786500000,1.25e+08,786500000,1.25e+08,0.99348109517601,0.997979797979798,0.13713658804169,0.13713658804169
"22","before 2000","Minnesota",904917737,108100000,8.38e+08,1.08e+08,0,0,0.106710866011224,0.114164904862579
"23","before 2000","Mississippi",NA,1.25e+09,NA,1.25e+09,NA,0,NA,NA
"24","before 2000","Missouri",65676616,8940861,0,0,0.142857142857143,0,0.119822612067143,NA
"25","before 2000","Nebraska",1.6e+08,0,1.6e+08,0,0.983606557377049,1,0,0
"26","before 2000","Nevada",5472527,421953,0,0,0.157894736842105,0,0.0715844315359455,NA
"27","before 2000","New Jersey",396531537,80882934,55179638,0,0,0,0.169418689447308,0
"28","before 2000","New Mexico",743773750,NA,743773750,NA,0,NA,NA,NA
"29","before 2000","New York",2278156151,72659122,1848981995,42500000,0,0,0.0309080525528813,0.0224691538763497
"30","before 2000","North Carolina",337844636,5447194,3.31e+08,0,0,0,0.015867531714926,0
"31","before 2000","North Dakota",0,NA,0,NA,0,NA,NA,NA
"32","before 2000","Ohio",28540109,253026720,0,2.32e+08,0.97489539748954,0.968253968253968,0.898638241225496,1
"33","before 2000","Oregon",665800000,1.21e+08,8.4e+07,1.21e+08,0,0,0.153787493645145,0.590243902439024
"34","before 2000","Pennsylvania",4e+07,4.5e+08,4e+07,4.5e+08,0,0,0.918367346938776,0.918367346938776
"35","before 2000","Rhode Island",1.4e+08,NA,1.4e+08,NA,0,NA,NA,NA
"36","before 2000","South Carolina",0,1.5e+08,0,1.5e+08,1,0.75,1,1
"37","before 2000","Tennessee",2.82e+08,2e+08,2.82e+08,2e+08,0,0,0.4149377593361,0.4149377593361
"38","before 2000","Texas",255151407,28921,2.5e+08,0,0.942196531791908,0.990384615384615,0.000113335538936998,0
"39","before 2000","Utah",1.25e+08,NA,1.25e+08,NA,0,NA,NA,NA
"40","before 2000","Vermont",14245233,756980,0,0,0,0,0.0504578891127596,NA
"41","before 2000","Virginia",100689000,54200000,9.8e+07,54200000,0,0,0.349928012964123,0.35611038107753
"42","before 2000","Wisconsin",18615052,NA,0,NA,0,NA,NA,NA
"43","2001 - 2008","Alabama",51176701,1399691257,5e+07,1397300000,0,0,0.96472683767133,0.965452912319491
"44","2001 - 2008","Alaska",0,NA,0,NA,1,NA,NA,NA
"45","2001 - 2008","Arizona",149227696,10429961,97400000,0,0.81951871657754,0.672413793103448,0.0653270328274954,0
"46","2001 - 2008","California",415599288,16809503,2.9e+08,0,0.213429256594724,0.192307692307692,0.038874100966185,0
"47","2001 - 2008","Colorado",5945491,928000,0,0,0.127272727272727,0,0.135011451968148,NA
"48","2001 - 2008","Connecticut",561754750,198429743,0,0,0,0,0.261028401430441,NA
"49","2001 - 2008","Delaware",2775806,322078,0,0,0,0,0.103967094959011,NA
"50","2001 - 2008","District of Columbia",437213,NA,0,NA,0,NA,NA,NA
"51","2001 - 2008","Florida",1499304924,62344085,829938000,0,0.0411985018726592,0.0769230769230769,0.0399219572648543,0
"52","2001 - 2008","Georgia",59453931,488766330,0,4.81e+08,0,0,0.891551014748067,1
"53","2001 - 2008","Hawaii",0,0,0,0,1,1,NA,NA
"54","2001 - 2008","Idaho",11113153,277327886,0,2.76e+08,0,0,0.961471664924907,1
"55","2001 - 2008","Illinois",539545400,50409094,48400000,0,0.402193784277879,0.447674418604651,0.0854457327008683,0
"56","2001 - 2008","Indiana",1199233560,634223135,2.04e+08,195300000,0.0118203309692671,0.0120481927710843,0.345916615718049,0.489105935386927
"57","2001 - 2008","Iowa",470768770,111812293,5.6e+07,0,0,0,0.191925725193028,0
"58","2001 - 2008","Kansas",235585084,1056141,231173600,0,0,0,0.0044630473832275,0
"59","2001 - 2008","Kentucky",2017708550,290201200,0,0,0,0,0.125742005292885,NA
"60","2001 - 2008","Louisiana",602967246,75093360,115200000,0,0,0,0.110747268511865,0
"61","2001 - 2008","Maine",1386302,1270623,0,0,0.448275862068966,0.5,0.478230661384872,NA
"62","2001 - 2008","Maryland",67047690,22437212,0,0,0.211267605633803,0.138297872340426,0.250737403724262,NA
"63","2001 - 2008","Massachusetts",6.7e+07,0,6.7e+07,0,0.988505747126437,1,0,0
"64","2001 - 2008","Michigan",1600098667,0,1597596000,0,0.973018549747049,1,0,0
"65","2001 - 2008","Minnesota",34203694,39140950,0,0,0.36,0.428571428571429,0.533657917816058,NA
"66","2001 - 2008","Mississippi",118656655,317860733,99750000,317860733,0,0,0.728174276072595,0.76114119653146
"67","2001 - 2008","Missouri",952476614,114144979,702356878,7.8e+07,0.0228310502283105,0.0588235294117647,0.107015439917125,0.0999542673345925
"68","2001 - 2008","Montana",6395700,NA,0,NA,0,NA,NA,NA
"69","2001 - 2008","Nebraska",1317440,2782761,0,0,0.961038961038961,0.791666666666667,0.678688922811345,NA
"70","2001 - 2008","Nevada",35857346,11890831,0,0,0.380281690140845,0.2,0.249032146295344,NA
"71","2001 - 2008","New Hampshire",150794,78280,0,0,0,0,0.341723635157198,NA
"72","2001 - 2008","New Jersey",394065552,384870993,0,118807428,0,0,0.494098005120558,1
"73","2001 - 2008","New Mexico",2504893982,130007870,2.5e+09,127500000,0.0476190476190476,0.2,0.0493406879278325,0.0485252140818268
"74","2001 - 2008","New York",10352318988,1782612308,7454067086,1283800000,0,0,0.146899250149657,0.146923727193897
